bam_filename,bam_index_filename,dataset_pk,is_on_blob,library_id,sample_id
MT2851/A46087/merge32458_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A46087_4_lanes_dupsFlagged.bam,MT2851/A46087/merge32458_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A46087_4_lanes_dupsFlagged.bam.bai,4796,True,A46087,SA420
wgs_merged/SA285/A46093_A91715/bwa-mem/hg19a/A46093_A91715_merged.bam,wgs_merged/SA285/A46093_A91715/bwa-mem/hg19a/A46093_A91715_merged.bam.bai,6901,True,A46093,SA285
wgs_merged/SA290/A46094_A91717/bwa-mem/hg19a/A46094_A91717_merged.bam,wgs_merged/SA290/A46094_A91717/bwa-mem/hg19a/A46094_A91717_merged.bam.bai,6900,True,A46094,SA290
wgs_merged/SA288/A46095_A91716/bwa-mem/hg19a/A46095_A91716_merged.bam,wgs_merged/SA288/A46095_A91716/bwa-mem/hg19a/A46095_A91716_merged.bam.bai,6898,True,A46095,SA288
MT1144/A46096/merge32459_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A46096_4_lanes_dupsFlagged.bam,MT1144/A46096/merge32459_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A46096_4_lanes_dupsFlagged.bam.bai,4797,True,A46096,SA296
MT3120_BC/A46098/merge32771_bwa-mem-0.7.6a-sb/100bp/hg19a/A46098_3_lanes_dupsFlagged.bam,MT3120_BC/A46098/merge32771_bwa-mem-0.7.6a-sb/100bp/hg19a/A46098_3_lanes_dupsFlagged.bam.bai,5754,True,A46098,SA409N
MT2851_BC/A46102/merge32786_bwa-mem-0.7.6a-sb/100bp/hg19a/A46102_3_lanes_dupsFlagged.bam,MT2851_BC/A46102/merge32786_bwa-mem-0.7.6a-sb/100bp/hg19a/A46102_3_lanes_dupsFlagged.bam.bai,5755,True,A46102,SA420N
MT1804_BC/A46108/merge32785_bwa-mem-0.7.6a-sb/100bp/hg19a/A46108_3_lanes_dupsFlagged.bam,MT1804_BC/A46108/merge32785_bwa-mem-0.7.6a-sb/100bp/hg19a/A46108_3_lanes_dupsFlagged.bam.bai,5756,True,A46108,SA285N
MT1584_BC/A46109/merge32784_bwa-mem-0.7.6a-sb/100bp/hg19a/A46109_3_lanes_dupsFlagged.bam,MT1584_BC/A46109/merge32784_bwa-mem-0.7.6a-sb/100bp/hg19a/A46109_3_lanes_dupsFlagged.bam.bai,5757,True,A46109,SA290N
MT1466_BC/A46110/merge32789_bwa-mem-0.7.6a-sb/100bp/hg19a/A46110_3_lanes_dupsFlagged.bam,MT1466_BC/A46110/merge32789_bwa-mem-0.7.6a-sb/100bp/hg19a/A46110_3_lanes_dupsFlagged.bam.bai,5758,True,A46110,SA288N
